1.370778389040188533e-03 1.370778389040188533e-03 5.647247694277586561e+03 5.639059805663385305e+03
2.049244460383312615e-03 2.049244460383312615e-03 3.009192980962552255e+01 1.320373608404757348e+01
2.727710531726436263e-03 2.727710531726436263e-03 4.390071728842767840e+01 1.545114954554637876e+01
3.406176603069559911e-03 3.406176603069559911e-03 6.574324907544280450e+01 2.307173465946514668e+01
4.084642674412683992e-03 4.084642674412683992e-03 9.153885937248028881e+01 3.201719208757425861e+01
4.763108745755807207e-03 4.763108745755807207e-03 1.197227323340173371e+02 4.311280507057890077e+01
5.441574817098930421e-03 5.441574817098930421e-03 8.602332792520746807e+01 3.972905661969689817e+01
6.120040888442055370e-03 6.120040888442055370e-03 7.487031238025531366e+01 3.829768178788100386e+01
6.798506959785178584e-03 6.798506959785178584e-03 6.685242666718883697e+01 1.117903936098653439e+01
7.476973031128301798e-03 7.476973031128301798e-03 6.018239696700031516e+01 1.150850348402354939e+01
8.155439102471425880e-03 8.155439102471425880e-03 3.576838550136592687e+01 1.172411492410454592e+01
8.833905173814549094e-03 8.833905173814549094e-03 3.460708303763484395e+01 1.183917477796163276e+01
9.512371245157672309e-03 9.512371245157672309e-03 3.351290574664844257e+01 1.186866896325244447e+01
1.019083731650079552e-02 1.019083731650079552e-02 3.245650104494779242e+01 1.182680110051235189e+01
1.086930338784392047e-02 1.086930338784392047e-02 3.142196578033802012e+01 1.172616789255739533e+01
1.154776945918704542e-02 1.154776945918704542e-02 3.040063661889572089e+01 1.157756843751894138e+01
1.222623553053016864e-02 1.222623553053016864e-02 2.938794967242591483e+01 1.139007540048219802e+01
1.290470160187329185e-02 1.290470160187329185e-02 2.838174046241204707e+01 1.117121032453689544e+01
1.358316767321641506e-02 1.358316767321641506e-02 2.738127603049280268e+01 1.092715145059603721e+01
1.426163374455954175e-02 1.426163374455954175e-02 2.638668332882697953e+01 1.066294094448420537e+01
1.494009981590266496e-02 1.494009981590266496e-02 2.539860302902522093e+01 1.038267678105230907e+01
1.561856588724578818e-02 1.561856588724578818e-02 2.441797661053926660e+01 1.008968353748523228e+01
1.629703195858891313e-02 1.629703195858891313e-02 2.344591452724717584e+01 9.786660771865372865e+00
1.697549802993203460e-02 1.697549802993203460e-02 2.248361461353641388e+01 9.475809771521758407e+00
1.765396410127515955e-02 1.765396410127515955e-02 2.153231186654754836e+01 9.158940377653662424e+00
1.833243017261828103e-02 1.833243017261828103e-02 2.059324774817637049e+01 8.837559911486200903e+00
1.901089624396140251e-02 1.901089624396140251e-02 1.966765141349628365e+01 8.512946249394067522e+00
1.968936231530453440e-02 1.968936231530453440e-02 1.875672796292117184e+01 8.186206983985771402e+00
2.036782838664765588e-02 2.036782838664765588e-02 1.786165056807817564e+01 7.858326450257275830e+00
2.104629445799077736e-02 2.104629445799077736e-02 1.698355449489637792e+01 7.530202234176495146e+00
2.172476052933390231e-02 2.172476052933390231e-02 1.612353184715106735e+01 7.202672634077097236e+00
2.240322660067702726e-02 2.240322660067702726e-02 1.528262640318905596e+01 6.876536418790310634e+00
2.308169267202014874e-02 2.308169267202014874e-02 1.446182829264160219e+01 6.552566118481541579e+00
2.376015874336327369e-02 2.376015874336327369e-02 1.366206850704182330e+01 6.231515989379839304e+00
2.443862481470639864e-02 2.443862481470639864e-02 1.288421338952544737e+01 5.914125704989178445e+00
2.511709088604952012e-02 2.511709088604952012e-02 1.212905932953894883e+01 5.601120738806222299e+00
2.579555695739264159e-02 2.579555695739264159e-02 1.139732791319636362e+01 5.293210311265622359e+00
2.647402302873576654e-02 2.647402302873576654e-02 1.068966176648040189e+01 4.991083675517071327e+00
2.715248910007889496e-02 2.715248910007889496e-02 1.000662128642663440e+01 4.695405411355173086e+00
2.783095517142201644e-02 2.783095517142201644e-02 9.348682397356260054e+00 4.406810286669124110e+00
2.850942124276514139e-02 2.850942124276514139e-02 8.716235403115415892e+00 4.125898133883336705e+00
2.918788731410826287e-02 2.918788731410826287e-02 8.109584940286334032e+00 3.853229079328239326e+00
